[Sun Jun 08 19:51:00.172151 2014] [:error] [pid 2746:tid 139914039092992] [client 129.97.124.14:27109] mod_wsgi (pid=2746): Exception occurred processing WSGI script '/var/www/ec2-54-200-196-237.us-west-2.compute.amazonaws.com/application.wsgi'.
[Sun Jun 08 19:51:00.172349 2014] [:error] [pid 2746:tid 139914039092992] [client 129.97.124.14:27109] IOError: failed to write data
[Sun Jun 08 19:51:07.046797 2014] [:error] [pid 2746:tid 139914030700288] [client 129.97.124.14:5472] mod_wsgi (pid=2746): Exception occurred processing WSGI script '/var/www/ec2-54-200-196-237.us-west-2.compute.amazonaws.com/application.wsgi'.
[Sun Jun 08 19:51:07.047003 2014] [:error] [pid 2746:tid 139914030700288] [client 129.97.124.14:5472] IOError: failed to write data
[Sun Jun 08 19:51:20.423550 2014] [:error] [pid 2746:tid 139914013906688] [client 129.97.124.14:41817] mod_wsgi (pid=2746): Exception occurred processing WSGI script '/var/www/ec2-54-200-196-237.us-west-2.compute.amazonaws.com/application.wsgi'.
[Sun Jun 08 19:51:20.423756 2014] [:error] [pid 2746:tid 139914013906688] [client 129.97.124.14:41817] IOError: failed to write data
[Sun Jun 08 20:33:52.265963 2014] [:error] [pid 3661:tid 140265679468288] [client 129.97.124.14:51835] mod_wsgi (pid=3661): Exception occurred processing WSGI script '/var/www/ec2-54-200-196-237.us-west-2.compute.amazonaws.com/application.wsgi'., referer: http://ec2-54-200-196-237.us-west-2.compute.amazonaws.com/
[Sun Jun 08 20:33:52.266143 2014] [:error] [pid 3661:tid 140265679468288] [client 129.97.124.14:51835] IOError: failed to write data, referer: http://ec2-54-200-196-237.us-west-2.compute.amazonaws.com/
[Mon Jun 23 20:52:02.436855 2014] [:error] [pid 9006:tid 139904566671104] [client 129.97.125.113:34720] mod_wsgi (pid=9006): Exception occurred processing WSGI script '/var/www/ec2-54-200-196-237.us-west-2.compute.amazonaws.com/application.wsgi'., referer: http://ec2-54-200-196-237.us-west-2.compute.amazonaws.com/admin
[Mon Jun 23 20:52:02.437059 2014] [:error] [pid 9006:tid 139904566671104] [client 129.97.125.113:34720] IOError: failed to write data, referer: http://ec2-54-200-196-237.us-west-2.compute.amazonaws.com/admin
[Mon Jun 23 20:52:02.547089 2014] [:error] [pid 9005:tid 139904499529472] [client 129.97.125.113:42363] mod_wsgi (pid=9005): Exception occurred processing WSGI script '/var/www/ec2-54-200-196-237.us-west-2.compute.amazonaws.com/application.wsgi'., referer: http://ec2-54-200-196-237.us-west-2.compute.amazonaws.com/admin
[Mon Jun 23 20:52:02.547275 2014] [:error] [pid 9005:tid 139904499529472] [client 129.97.125.113:42363] IOError: failed to write data, referer: http://ec2-54-200-196-237.us-west-2.compute.amazonaws.com/admin
[Mon Jun 23 20:52:12.246267 2014] [:error] [pid 9005:tid 139904541492992] [client 129.97.125.113:27972] mod_wsgi (pid=9005): Exception occurred processing WSGI script '/var/www/ec2-54-200-196-237.us-west-2.compute.amazonaws.com/application.wsgi'., referer: http://ec2-54-200-196-237.us-west-2.compute.amazonaws.com/admin
[Mon Jun 23 20:52:12.246402 2014] [:error] [pid 9005:tid 139904541492992] [client 129.97.125.113:27972] IOError: failed to write data, referer: http://ec2-54-200-196-237.us-west-2.compute.amazonaws.com/admin
[Mon Jun 23 20:55:17.356840 2014] [:error] [pid 9006:tid 139904491136768] [client 129.97.125.113:50953] mod_wsgi (pid=9006): Exception occurred processing WSGI script '/var/www/ec2-54-200-196-237.us-west-2.compute.amazonaws.com/application.wsgi'., referer: http://ec2-54-200-196-237.us-west-2.compute.amazonaws.com/admin
[Mon Jun 23 20:55:17.357035 2014] [:error] [pid 9006:tid 139904491136768] [client 129.97.125.113:50953] IOError: failed to write data, referer: http://ec2-54-200-196-237.us-west-2.compute.amazonaws.com/admin
[Mon Jun 23 20:55:17.858100 2014] [:error] [pid 9005:tid 139904683407104] [client 129.97.125.113:50956] mod_wsgi (pid=9005): Exception occurred processing WSGI script '/var/www/ec2-54-200-196-237.us-west-2.compute.amazonaws.com/application.wsgi'., referer: http://ec2-54-200-196-237.us-west-2.compute.amazonaws.com/admin
